"年別","月份","國家名稱","觀光","小計"
"Years","Months","Countries","Leisure","Subtotals"
"100","1","日本(Japan)","68640","68640"
"100","1","韓國(Korea)","13436","13436"
"100","1","北韓(Democratic People's Republic of Korea)","0","0"
"100","1","香港(Hong Kong)","24951","24951"
"100","1","中國大陸(Mainland China)","69384","69384"
"100","1","澳門(Macao)","950","950"
"100","1","蒙古(Mongolia)","4","4"
"100","1","越南(Vietnam)","104","104"
"100","1","泰國(Thailand)","877","877"
"100","1","馬來西亞(Malaysia)","11076","11076"
"100","1","新加坡(Singapore)","8233","8233"
"100","1","菲律賓(Philippines)","946","946"
"100","1","汶萊(Brunei)","51","51"
"100","1","印尼(Indonesia)","931","931"
"100","1","柬埔寨(Cambodia)","3","3"
"100","1","寮國(Laos)","1","1"
"100","1","帝汶(Timor)","3","3"
"100","1","緬甸(Myanmar)","16","16"
"100","1","索羅門群島(Solomon Islands)","1","1"
"100","1","吐瓦魯(Tuvalu)","0","0"
"100","1","印度(India)","78","78"
"100","1","巴基斯坦(Pakistan)","2","2"
"100","1","斯里蘭卡(Sri Lanka)","2","2"
"100","1","孟加拉(Bangladesh)","2","2"
"100","1","尼泊爾(Nepal)","4","4"
"100","1","不丹(Bhutan )","1","1"
"100","1","馬爾地夫(Maldives)","0","0"
"100","1","塞席爾(Seychelles)","0","0"
"100","1","吉里巴斯(Kiribati)","0","0"
"100","1","伊朗(Iran)","5","5"
"100","1","伊拉克(Iraq)","1","1"
"100","1","巴林(Bahrain)","0","0"
"100","1","南葉門(South Yemen)","1","1"
"100","1","沙烏地阿拉伯(Saudi Arabia)","5","5"
"100","1","科威特(Kuwait)","1","1"
"100","1","卡達(Qatar)","0","0"
"100","1","阿曼(Oman)","0","0"
"100","1","以色列(Israel)","33","33"
"100","1","約旦(Jordan)","0","0"
"100","1","敘利亞(Syria)","0","0"
"100","1","黎巴嫩(Lebanon)","2","2"
"100","1","阿拉伯聯合大公國(United Arab Emirates)","6","6"
"100","1","葉門(Yemen)","0","0"
"100","1","土耳其(TURKEY)","7","7"
"100","1","賽普勒斯(Cyprus)","6","6"
"100","1","阿富汗(觀光)(Afghanistan)","5","5"
"100","1","埃及(Egypt)","0","0"
"100","1","摩洛哥(Morocco)","0","0"
"100","1","阿爾及利亞(Algeria)","0","0"
"100","1","突尼西亞(Tunisia)","0","0"
"100","1","利比亞(Libya
)","0","0"
"100","1","蘇丹(Sudan)","1","1"
"100","1","索馬利亞(Somalia)","0","0"
"100","1","南非(S. Africa)","56","56"
"100","1","象牙海岸(Cote D'ivoire)","0","0"
"100","1","奈及利亞(Nigeria)","1","1"
"100","1","賴比瑞亞(Liberia)","1","1"
"100","1","幾內亞(Guinea)","0","0"
"100","1","安哥拉(Angola)","0","0"
"100","1","剛果共和國(Congo)","0","0"
"100","1","中非共和國(Central African)","0","0"
"100","1","波札那(Botswana)","0","0"
"100","1","喀麥隆(Cameroon)","0","0"
"100","1","查德(Chad)","0","0"
"100","1","衣索匹亞(Ethiopia)","0","0"
"100","1","加彭(Gabon)","0","0"
"100","1","甘比亞(Gambia)","0","0"
"100","1","迦納(Ghana)","0","0"
"100","1","肯亞(Kenya)","0","0"
"100","1","賴索托(Lesotho)","0","0"
"100","1","馬拉加西(Madagascar)","0","0"
"100","1","模里西斯(Mauritius)","5","5"
"100","1","馬利(Mali)","0","0"
"100","1","馬拉威(Malawi)","0","0"
"100","1","莫三鼻克(Mozambique)","0","0"
"100","1","尼日(Niger)","0","0"
"100","1","盧安達(Rwanda)","0","0"
"100","1","塞內加爾(Senegal)","1","1"
"100","1","獅子山(Sierra Leone)","0","0"
"100","1","坦桑尼亞(Tanzania)","0","0"
"100","1","烏干達(Uganda)","0","0"
"100","1","尚比亞(Zambia)","1","1"
"100","1","多哥(Togolese Republic)","0","0"
"100","1","辛巴威(Zimbabwe)","0","0"
"100","1","史瓦濟蘭(Swaziland)","0","0"
"100","1","布吉納法索(Burkina Faso)","0","0"
"100","1","貝南(Benin)","0","0"
"100","1","赤道幾內亞(Equatorial Guinea)","0","0"
"100","1","維德角島(Cape Verde)","0","0"
"100","1","吉布地(Djibouti)","0","0"
"100","1","西撒哈拉(Saharaui)","0","0"
"100","1","幾內亞比索(Guinea Bissau)","0","0"
"100","1","葛摩(Comoros)","0","0"
"100","1","留尼旺(Reunion)","0","0"
"100","1","聖多美及普林西比(Sao Tome & Principe)","0","0"
"100","1","美國(United States of America)","7087","7087"
"100","1","加拿大(Canada)","2589","2589"
"100","1","百慕達(Bermuda)","0","0"
"100","1","墨西哥(Mexico)","48","48"
"100","1","巴拿馬(Panama)","26","26"
"100","1","巴貝多(Barbados)","0","0"
"100","1","巴哈馬(Bahamas)","2","2"
"100","1","古巴(Cuba)","0","0"
"100","1","哥斯達黎加(Costa Rica)","3","3"
"100","1","多明尼加(Dominican Rep.)","8","8"
"100","1","瓜地馬拉(Guatemala)","9","9"
"100","1","宏都拉斯(Honduras)","1","1"
"100","1","海地(Haiti)","0","0"
"100","1","牙買加(Jamaica)","0","0"
"100","1","尼加拉瓜(Nicaragua)","1","1"
"100","1","薩爾瓦多(El Salvador)","1","1"
"100","1","千里達及托貝哥(Trinidad)","0","0"
"100","1","聖文森(Saint Vincent)","1","1"
"100","1","貝里斯(Belize)","1","1"
"100","1","格瑞那達(Grenada)","0","0"
